,Cond,pH,Lvl_cm,Temp_C,CO2,Cond_corr,Ca,days_since_storm,Dis_R,Q,Staff,Stage,Air_Temp
2013-09-27 10:00:00-05:00,308.888888888889,6.51045555555555,34.7804444444445,16.7866666666667,12823.3333333333,277.34188160191,51.0268012627392,119,0.800853023066377,0.036054257422439,38.7701715872414,0.186847524741463,28.3
2013-09-27 11:30:00-05:00,309,6.48518888888889,34.7994444444444,16.7841111111111,12923.3333333333,277.518179861858,51.0643587444302,119,0.80396880253299,0.036239945128964,38.7707905462632,0.187466483763212,26.4
2013-09-27 13:00:00-05:00,309,6.44817777777778,34.7726666666667,16.7773333333333,13310,277.594719719087,51.0806643182195,119,0.818522234101287,0.035978244910996,38.7699182122033,0.186594149703318,24.4
2013-09-27 14:30:00-05:00,309,6.44716666666666,34.6238888888889,16.78,13613.3333333333,277.671259576315,51.0969698920086,119,0.829393532612768,0.034524234156392,38.765071509688,0.181747447187972,22.75
2013-09-27 16:00:00-05:00,309.144444444444,6.47194444444445,34.4914444444444,16.7785555555556,13760,277.87764132359,51.1409361722028,119,0.834254678384525,0.033229849675819,38.7607568947527,0.177432832252729,21.1
2013-09-27 17:30:00-05:00,309.277777777778,6.48200000000001,34.4753333333333,16.7695555555556,14003.3333333333,278.074108929748,51.1827904056101,119,0.842761085304183,0.033072395187829,38.7602320464594,0.176907983959431,18.35
2013-09-27 19:00:00-05:00,309.722222222222,6.43628888888888,34.4838888888889,16.7637777777778,14190,278.550426390099,51.2842621064736,119,0.84883636966582,0.033156008950417,38.7605107590014,0.177186696501388,17.8
2013-09-27 20:30:00-05:00,309.755555555556,6.41055555555555,34.4911111111111,16.7522222222222,14596.6666666667,278.657125818862,51.3069926872712,119,0.861262446465961,0.033226591996757,38.7607460358225,0.177421973322523,19.75
2013-09-27 22:00:00-05:00,309.688888888889,6.41093333333333,34.4503333333333,16.764,14726.6666666667,278.673871599683,51.3105601039704,119,0.866440869193139,0.032828069258192,38.7594176266939,0.176093564193972,20.6
2013-09-27 23:30:00-05:00,309.844444444444,6.41316666666667,34.4397777777778,16.7577777777778,14826.6666666667,278.890588856365,51.3567281966238,119,0.865658598401114,0.032724909421233,38.7590737605707,0.175749698070778,21.4
